AlegreyaSansSC-Light,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Light.ttf?raw=true",OFL
AlegreyaSansSC-LightItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-LightItalic.ttf?raw=true",OFL
AlegreyaSansSC-Medium,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Medium.ttf?raw=true",OFL
AlegreyaSansSC-MediumItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-MediumItalic.ttf?raw=true",OFL
AlegreyaSansSC-Regular,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Regular.ttf?raw=true",OFL
AlegreyaSansSC-Thin,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-Thin.ttf?raw=true",OFL
AlegreyaSansSC-ThinItalic,"https://github.com/google/fonts/blob/master/ofl/alegreyasanssc/AlegreyaSansSC-ThinItalic.ttf?raw=true",OFL
Aleo-Bold,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-Bold.ttf?raw=true",OFL
Aleo-BoldItalic,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-BoldItalic.ttf?raw=true",OFL
Aleo-Italic,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-Italic.ttf?raw=true",OFL
Aleo-Light,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-Light.ttf?raw=true",OFL
Aleo-LightItalic,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-LightItalic.ttf?raw=true",OFL
Aleo-Regular,"https://github.com/google/fonts/blob/master/ofl/aleo/Aleo-Regular.ttf?raw=true",OFL
AlexBrush-Regular,"https://github.com/google/fonts/blob/master/ofl/alexbrush/AlexBrush-Regular.ttf?raw=true",OFL
AlfaSlabOne-Regular,"https://github.com/google/fonts/blob/master/ofl/alfaslabone/AlfaSlabOne-Regular.ttf?raw=true",OFL
Alice-Regular,"https://github.com/google/fonts/blob/master/ofl/alice/Alice-Regular.ttf?raw=true",OFL
